,,normal,student_df3,student_df2
spectral_clustering,ARI,0.9847703113344827,0.6684438917458563,0.41630811462827133
normalized_spectral_clustering,ARI,0.9421326846324891,0.5611019001113894,0.3432152917904883
louvain,ARI,0.855369114758792,0.5609635505866131,0.31819576696073015
mst_cut_clustering,ARI,0.9939398629850302,0.4818883146409969,0.17314980155644463
