,,normal,student_df3,student_df2
spectral_clustering,ARI,0.9080623562529285,0.603784555085638,0.38509042998740106
normalized_spectral_clustering,ARI,0.9907463647090191,0.7904088929368024,0.42460760948605414
louvain,ARI,0.7819268699608071,0.5981681932233184,0.35163824167607527
mst_cut_clustering,ARI,0.978134911439101,0.31773678484285683,0.07231445245617682
