,,normal,student_df3,student_df2
spectral_clustering,ARI,0.9895865896619612,0.7354270895822443,0.37588665393817877
normalized_spectral_clustering,ARI,0.8073556392402527,0.4930500431206437,0.30494217155138975
louvain,ARI,0.8417413765708827,0.5681996975578718,0.31407618365129636
mst_cut_clustering,ARI,0.9916755041680101,0.6350327324366456,0.22300733550986046
