,spectral_clustering,normalized_spectral_clustering,louvain,mst_cut_clustering
,ARI,ARI,ARI,ARI
k,,,,
2,0.603784555085638,0.7904088929368024,0.5981681932233184,0.31773678484285683
3,0.6684438917458563,0.5611019001113894,0.5609635505866131,0.4818883146409969
4,0.7354270895822443,0.4930500431206437,0.5681996975578718,0.6350327324366456
5,0.7112413545922968,0.4788509503067185,0.5783102976882776,0.6823301809662451
6,0.7201381140359803,0.4753654777949836,0.587347274469797,0.7524560138148746
7,0.7336729625403098,0.4554570810497718,0.552962662865692,0.7122889154754362
