,,normal,student_df3,student_df2
spectral_clustering,ARI,0.9795394936858838,0.7336729625403098,0.43792886494675626
normalized_spectral_clustering,ARI,0.6590397735332183,0.4554570810497718,0.3070402136254515
louvain,ARI,0.8474985610214923,0.552962662865692,0.34808516199838635
mst_cut_clustering,ARI,0.8910955741531122,0.7122889154754362,0.3461490228074042
