,spectral_clustering,normalized_spectral_clustering,louvain,mst_cut_clustering
,ARI,ARI,ARI,ARI
k,,,,
2,0.38509042998740106,0.42460760948605414,0.35163824167607527,0.07231445245617682
3,0.41630811462827133,0.3432152917904883,0.31819576696073015,0.17314980155644463
4,0.37588665393817877,0.30494217155138975,0.31407618365129636,0.22300733550986046
5,0.4381658887516855,0.3168444888748847,0.3589226499951364,0.32613949701146633
6,0.43187526992987474,0.30381621269394465,0.3336940574087652,0.32616942784850933
7,0.43792886494675626,0.3070402136254515,0.34808516199838635,0.3461490228074042
