,,normal,student_df3,student_df2
spectral_clustering,ARI,0.9803506952905812,0.7201381140359803,0.43187526992987474
normalized_spectral_clustering,ARI,0.7548398143275975,0.4753654777949836,0.30381621269394465
louvain,ARI,0.843125284755331,0.587347274469797,0.3336940574087652
mst_cut_clustering,ARI,0.9500284110608175,0.7524560138148746,0.32616942784850933
